	comp1	comp2	comp3	comp4
f__Lachnospiraceae	0	0.135013891241933	0.306796309431517	-0.00709430689343636
f__Porphyromonadaceae	0.116119940357213	0.00987095945642113	0	-0.059845178130069
f__Bacteroidaceae	0	-0.529541530172337	0	-0.159289983928404
f__Atopobiaceae	-0.538837575205654	0	0	0.0808478676368704
f__Clostridiaceae	0	-0.584922273761396	0	0.15460867951535
f__Deferribacteraceae	-0.108095767012888	0.384964665791627	0	-0.149068011016737
f__Ruminococcaceae	0.0780474513939854	0	0	-0.477022153153188
f__Rikenellaceae	-0.215131068098404	0.0532355087338241	0	-0.108561636097537
f__Clostridiales_vadinBB60_group	0.561482147336605	0	0	0.0607034678419733
f__Lactobacillaceae	0.176480051234357	0.344851991599516	0	0.222475475024713
f__unassigned	-0.28911780052341	0	-0.555557672532372	0.0469831737578895
f__Bacteroidales_family	-0.23662812266359	0	-0.770413485688768	-0.0295015761394906
f__Aerococcaceae	0	0	0	0.335991837464577
f__Peptostreptococcaceae	0	0	0	-0.0470733530792907
f__Streptococcaceae	0	0.23227419309924	0	0.0999419058875802
f__Bifidobacteriaceae	0	0	0	-0.431381258951669
f__Moraxellaceae	0	0	0	0.137440266176124
f__Pseudomonadaceae	0	0	0	0.237430098008405
f__Staphylococcaceae	0	0	0	-0.0786129230269938
f__Enterobacteriaceae	0.382260866091955	0.0839337119309186	-0.0579293504883139	-0.0483145934978256
f__Christensenellaceae	0	0	0	-0.404167957494871
f__Promicromonosporaceae	0	0	0	0.205173717079799
f__Bacteria_family	0	-0.167853020898919	0.0184105521508469	0.149431949899337
